investors,no_of_investments,invested_amount
"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",1,0
"TVS Motor Company",1,0
"blockchain ecosystem Global Advisors, Horseferry",1,0
"Arun Patodia, Bharat Kedia",1,0
"500 Startups, IvyCap Ventures",1,0
"Sundaram Finance Holdings",1,0
"SBI (Stand Up India Scheme)",1,0
"Cao Yibin, Huang Wei, Madhusudan E,",1,0
"Nexus Venture Partners, Founders Fund",1,0
"Fairfax Holdings",1,0
"RB Investments",1,0
"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",1,0
"BLIP Initiatives",1,0
"Gujarat Venture Finance Ltd",1,0
"Aparup Sengupta, Devendra Reddy,",1,0
Zeta,1,0
"Dutch government fund",1,0
"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",1,0
"Hinduja family",1,0
"Indian Angels Network, LetsVenture",1,0
"Luxasia Group",1,0
"GVFL, Unicorn India Ventures",1,0
"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,Â  Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",1,0
"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",1,0
"Chirag Nikunj Sheth & Others",1,0
"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",1,0
GEMs,1,0
SAP,1,0
"Dr. Ritesh Malik",1,0
"Ankur Capital, Hyderabad Angels",1,0
"Gokaldas Exports Ltd",1,0
"Eagle10 Ventures",1,0
"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",1,0
"Lahiri Musicâ€™s family office",1,0
"PV Sahad, Sandeep Shroff, Rahul Gupta",1,0
"Rohitash Gupta",1,0
"Unicorn India Ventures & Others",1,0
"Deepak Kulkarni, Sandeep Pangal",1,0
"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",1,0
"YouWeCan Ventures,",1,0
"Ishwar Singh,Farhaan Shabbir",1,0
"Labruyere EberlÃ©",1,0
"Sushil Kumar, Sandeep Singh",1,0
"MAPE Advisory Group, R Ramaraj, Corvus Ventures",1,0
"Z Nation Lab",1,0
"Redcliffe Capital",1,0
"Benori Ventures LLP",1,0
"Jacqueline Fernandez",1,0
"Village Capital",1,0
"Ankit Nagori",1,0
"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",1,0
"Times Internet,Matrix Partners",1,0
"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",1,0
"GardX International",1,0
"Cross Border Angels & Experts",1,0
"Poshika Financial Ecosystem",1,0
"Calcutta Angels Network (CAN), Augment Ventures",1,0
"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",1,0
Langoor,1,0
"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",1,0
"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",1,0
"Undisclosed angel investors",1,0
"Kae Capital, SEGNEL Ventures",1,0
"Singapore Angel Network",1,0
"Asuka, Pravega Ventures, BEENEXT",1,0
"Cyber Carrier",1,0
"Puneet Gupta, Nimitt Desai & Others",1,0
"Shripad Nadkarni, Nandu Nandkishore",1,0
"Mahavir Sharma, Vishal Jain, Rohit Sethi, Gaurav Luniya",1,0
"Vikas Bajaj, Amit Kharbanda,",1,0
Verlinvest,1,0
"JSW Ventures, VenturEast",1,0
"Meher Roy, Nikhil Arora, Meet Kanodia, Krit Sankalp, Nitish Singh, Risabh Gupta",1,0
"Om Chaudhry",1,0
"Intex Technologies",1,0
"Satveer Thakral, LetsVenture, Mumbai Angels",1,0
"Satya D Sinha, Gyanendra Singh",1,0
"Jaarvis Accelerator",1,0
"Japan Vyas, Tarun Adlakha",1,0
ThinQbate,1,0
"Vikram Sud",1,0
"Vijay Shekhar Sharma, Rajan Anandan, Kunal Shah, Girish Mathrubootham, Punit Soni, Anand Chandrasekaran, Sunil Kalra, Utsav Somani, Vishal Gondal, Vikram Limaye",1,0
"Konglo Ventures, White Unicorn Ventures, LetsVenture",1,0
BookMyShow,1,0
"Kunal Shah, Sandeep Tandon, Nitin Saluja, Gagan Goyal",1,0
"Pankaj Rungta, Yogesh Agarwal",1,0
"Ishan Manaktala",1,0
"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma",1,0
"Vishal Malik",1,0
"DanGold Investment Corp",1,0
"Marico Innovation Foundation (MIF), Villgro",1,0
"Aavya Ventures",1,0
"Zishaan Hayath, Karan Chellani, Mohit Satyan",1,0
"Vividhity Ventures",1,0
"Axilor Ventures, Parampara Early Stage Opportunities Fund & Others",1,0
"Harsh V. Pant, Ratheesh Raveendran",1,0
"Amajit Gupta, Praveen Dubey, J.P. Bhatt",1,0
"Rajasthan Venture Capital Fund",1,0
"SB Ventures",1,0
"Indian Angel Network, Native Angels Network",1,0
"SD Group",1,0
"Bessemer Venture Partners, Stellaris Venture Partners, Jungle Venture Partners, Axis Capital",1,0
"Umang Moondra",1,0
"Singapore based investor",1,0
"YourNest Fund II",1,0
"East Ventures & Others",1,0
"Sharad Sharma, Rajan Anandan,Â  Amit Ranjan, Alok Mittal & others",1,0
"Senovo, Unternehmertum Venture Capital, Alexander Bruehl",1,0
"Dream Incubator",1,0
"Rajesh Yohannan, Puthen & Cole",1,0
"Chandigarh Angels Network (CAN)",1,0
"Grace Capital Ventures",1,0
"Ajith Sukumaran, Currae Healthtech Fund",1,0
"The Chennai Angels, LetsVenture",1,0
"Investors from Mumbai Angels & LetsVenture",1,0
"Mohan Kumar, V. Balakrishnan",1,0
"Calcutta Angel Network, Appliyifi",1,0
"Max Ventures and Industries",1,0
"Axilor, undisclosed investors",1,0
"India Quotient, Rajul Garg, Rajesh Yabaji, Chanakya Hridaya, Ramasubramaniam B, Vishwanathan, Nobel House, Sunstone Capital",1,0
"FiNC, GHV",1,0
"V. Krishna Prasad, Bhupen Shah & Others",1,0
"Ajith Nair",1,0
"Cyber Carrier CL",1,0
"Dr. Apoorv Ranjan Sharma, Anil Jain, Anuj Golecha, Krishna Jhunjhunwala, Anirudh Damani",1,0
"Fireside Ventures & Others",1,0
"HCS Venture capital fund",1,0
"Incubate Fund, Lead Angels Group & Others",1,0
"Pradyumna Dalmia, S. Somasegar & Others",1,0
"Ajay Relan",1,0
"The Chennai Angels, Ritesh Mehta, Aruna Ganesh Ram",1,0
"Lead Angels, Mumbai Angels, LetsVenture, Girish Mathrubootham, Anbu Pandian",1,0
"WaterBridge Ventures,",1,0
"CoCreate Ventures",1,0
"RB Investments,Â  Kaleden Holdings",1,0
"Calcutta Angels Network, LetsVenture, Anupam Mittal, Currae Healthtech Fund",1,0
"Raman Roy, Ashish Gupta, Yogesh Andlay, Vaibhav Jain",1,0
"3one4 Capital, Mumbai Angels, Aarin Capital",1,0
"Gati Ltd",1,0
"Gleevoaz Ventures",1,0
"Arun Seth, T.V. Mohandas Pai, Anand Chandrasekaran, Deepak Ghaisas",1,0
"Pramod Bhasin",1,0
"R.S Sharma",1,0
"Hitesh Windlass",1,0
"Asuka Holdings",1,0
"YMS Mobitech",1,0
"Sanjai Vohra, V. Bunty Bohra",1,0
"Dr. Pooja Gandhi",1,0
"Venture Highway",1,0
"Blume Ventures, BEENEXT, Barkawi Holdings GmbH, TM Service Technology Holdings Gmbh, Sreevathsa Prabhakar",1,0
"Girish Mathrubootham, VC Karthic, Miten Mehta, Umasankar Nistala, Rakesh Patel, Akash Bhavsar, Jeevanandhan Rajagopal, Vikas Chadha & Others",1,0
"Reliance Entertainment",1,0
"Paytm, Aprameya Radhakrishna, Subramanya Venkat, Venk Krishnan",1,0
"Mohit Sharma",1,0
"Blume Ventures & Others",1,0
"Mahindra Univeg",1,0
"American Express Ventures, Sequoia Capital",1,0
"BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon",1,0
"White Unicorn Ventures, Kae Capital, Mumbai Angels",1,0
"Indian Angel Network, Healthsquad, Axilor Ventures",1,0
"Ventureast Fund Advisors",1,0
"Sumpoorna Group",1,0
"Radhakrishnan Natarajan & Others",1,0
"GrowX Ventures, Sunil Kalra, Arun Venkatachalam,Â  Badal Malick",1,0
"Quarizon Consultancy Services LLP",1,0
"Karan Bhagat",1,0
"Vishnu Bhat, Rajiv Lunkad, Naresh Ravindranath",1,0
"Boman Irani, Dhruv Chitgopekar, Prantik Dasgupta",1,0
"Hyderabad Angels, TLabs",1,0
"Ranjan Pai",1,0
Mobikon,1,0
"Helion Ventures, Blume ventures",1,0
"Astarc Ventures, Anand Chandrasekaran",1,0
"Ajay Nanavati, Afsal Salu",1,0
"Sequoia India, Exfinity Ventures, growX ventures,",1,0
"Pradeep Dhobale",1,0
"Amit Choudhary",1,0
Grasshoppers,1,0
"Anita Dongre, Yash Dongre, Milind Sarwate",1,0
"William Bissel",1,0
PremjiInvest,1,0
"Ravi Linganuri",1,0
"Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni",1,0
"Raj Singh Bhandal",1,0
"Indian Angels Network",1,0
"Calcutta Angels Network",1,0
"Scadea Solutions Inc",1,0
"Sumit Jain",1,0
"KellyGamma, Lead Angels & Others",1,0
"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",1,0
"Rohit MA",1,0
"Idea Wave Labs",1,0
"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",1,0
"Scale Ventures Funds",1,0
"Procam International Pvt. Ltd",1,0
"Pratik Seal",1,0
"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",1,0
"Rajasthan Angel Innovators Network",1,0
"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",1,0
"Inventus Capital Partners, Blume Ventures & Others",1,0
"Geniee, Inc, Purvi Capital",1,0
"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",1,0
"HT Media Ltd, North Base Media",1,0
"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",1,0
"Ashvin Chadha",1,0
"Undisclosed Dubai based HNIs",1,0
"Kashyap Deorah, Rajul Garg, Maninder Gulati",1,0
"Speridian Technologies",1,0
"Aspire Systems",1,0
"Satish Vasudeva, Madhusudhan Jujare & Others",1,0
"Saha Fund, Exfinity Venture Partners & Others",1,0
"Vijay Kedia",1,0
"Dr. Goutam Challagalla",1,0
"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",1,0
"Vineet Taneja, Kamal Puri",1,0
"Kunal Shah, Sandeep Tandon, Tracxn Labs",1,0
"Scale Ventures",1,0
"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",1,0
"Globevestor Angel Fund, Devendra Rane, Ravi Jain,Â  Arpan Nagdeve",1,0
"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",1,0
"Hitouch AG",1,0
"Ambit Pragma",1,0
"Sarbvir Singh, Raghav Bahl",1,0
MasterCard,1,0
"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",1,0
"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",1,0
"AVG Group, 500 Startups",1,0
"Rothenberg Ventures",1,0
"Alex Chua, Rahul Garg",1,0
"Stanford Angels & Entrepreneurs, Harvard Angels",1,0
"Mumbai Angels,Â  Times Internet",1,0
"Ashish Mahajan, Sarvesh Sharma",1,0
"Rishi Parti, Yogesh Bansal",1,0
"Ajay Piramal",1,0
"Jaspal Bindra, Parth Jindal",1,0
"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",1,0
"Abhijit Avasthi, Karan Chellani, SP Vijay",1,0
"Intelli Reboot Digital Pvt. Ltd",1,0
"Satish Jamdar",1,0
"Nilesh Shah",1,0
"Swastika Company Pvt Ltd",1,0
"Verlinvest, DSG Consumer Partners",1,0
"Beenext, Digital Garage, Lightbox, Beenos",1,0
MapmyIndia,1,0
"MadhanKumar Madathupalayam",1,0
"Sanjiv Rai",1,0
"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",1,0
"Ankit Maheshwari, Anand Singh",1,0
"Cameron Jones",1,0
"Ritesh Dwivedy, Priti Padhy",1,0
"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",1,0
"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",1,0
"Valpro Capital and existing investors",1,0
MCube8,1,0
"IvyCap Ventures and Unicorn India Ventures",1,0
"Atul Ingle",1,0
"Guy Oseary",1,0
"Nimmagadda Prasad",1,0
"BetOnIndia Technology Pvt Ltd",1,0
"Sanjay Verma, Amit Khanna (LetsVenture)",1,0
"Hamraj Kumar",1,0
"Timbru Ventures",1,0
"Concur Technologies, Gund Investment",1,0
IndiaMart,1,0
"CP Bothra",1,0
"Rise India",1,0
"Kanodia family, Amit Banka",1,0
"Soniks Consulting",1,0
"Piyush Jain",1,0
"Omidyar Network, Accel Partners & existing investors",1,0
"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",1,0
"StartupXseed Ventures",1,0
"IDG Ventures, Inventus Capital, Indian Angel Network",1,0
"Rajul Garg & Others",1,0
"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",1,0
"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",1,0
"Phanindra Sama, Raghunandan G,",1,0
"Anurag Chauhan",1,0
"Kinnevik Group, Rocket Internet",1,0
"Rata Tata",1,0
"Undisclosed investors, Accel Partners, Helion Venture Partners",1,0
"Anupam Mittal, Anuj Srivastava, Ankit Nagori",1,0
"Subramanya SV",1,0
"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary",1,0
"Pradeep Reddy Kamasan",1,0
"MCube Capital Advisors Pvt Ltd",1,0
"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners",1,0
"Kunal Shah, Sandeep Tandon",1,0
"Ashish Gupta and other undisclosed investors",1,0
"HBM Healthcare Investments",1,0
"Raman Roy",1,0
"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry",1,0
"Vineet Singh",1,0
"Equentia Natural Resource & Other undisclosed investors",1,0
"N.S. Raghavan Centre for Entrepreneurial Learning",1,0
"Mukesh Bansal",1,0
"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH",1,0
"Nazara Technologies Pvt Ltd",1,0
"IDG, Indian Angel Network",1,0
Villgro,1,0
Wingify,1,0
Shaan,1,0
"Anirudh Damani, Daud Ali, Narendra Karnavat, Vikas Kapoor, Vikram Lakhotia, Krishna Jhunjhunwaala, Jayesh Shah",1,0
"Anil Kapoor",1,0
"StartUp Equity Partners",1,0
"Ram Shriram, Neeraj Arora, Puru Vashishtha",1,0
"Mahavir Pratap Sharma, Ajay Data, Yogesh Chaudhary, Sanjay Phophaliya, Siddharth Agarwal, Kamal Kothari",1,0
"Vivek Nathani, Yogesh Chaudhary, Mahavir Pratap Sharma, Kamal Kothari, H C Jain",1,0
"Pawan Munjal, AdvantEdge Partners, Astarc Ventures",1,0
"Ajay Data & other HNIs",1,0
"Mitin Patel, Gaurav Agarwal",1,0
"Bhavish Aggarwal, Ankit Bhati",1,0
"RN Agarwal",1,0
"YourNest Angel Fund, Rajul Garg",1,0
"Undisclosed Angel investors & HNIs",1,0
"Blume Ventures, Adil Allana, Aprameya Radhakrishna, Gautam Ivatury, Signal Point Partners",1,0
"Ajay Data & undisclosed HNIs",1,0
"M&Y Partners, SVG Media, Anthil Ventures & others",1,0
"Inventus Capital Partners, HR Fund",1,0
"NTT Finance, Telephone Corporation",1,0
"Farooq Oomerbhoy, Anupam Mittal, Anand Mittal, Ravi Garikipati, Vibhu Garg, Singapore Angel Network, Konglo Ventures",1,0
"Nandan Nilekani, Helion Ventures, Omidyar Networks, Blume Ventures",1,0
"S Chand & Co",1,0
"Lip-Bu Tan, Michael Marks, Nicolas Braithwaite",1,0
"Kludein LLCPhanindra Sama, Narayan Ramachandran, Pranav Pai",1,0
"Dino Morea",1,0
"Matt Glickman",1,0
"Sudhir Mehta, Anoop Hingorani",1,0
"Manoj Kumar & Other undisclosed investors",1,0
"Mohit Gulati",1,0
"Naveen Tewari, Abhay Singhal, Amit Gupta, Piyush Shah, Raghunandan G, Rajiv Mehta",1,0
"Vijay Krishna Yadav",1,0
"Apoorv Ranjan Sharma, Daud Ali and others",1,0
"Amadeus Capital",1,0
"Amit Choudhary, Anuj Puri",1,0
"Puneet Gupta,",1,0
"Raj Gala Shah, Zaheer Memon",1,0
"Janak Parikh",1,0
"Hemang Sahani",1,0
"Kris Gopalakrishnan, Atul Nishar",1,0
"Google Capital",1,0
"Sachin Tendulkar",1,0
"Rajul Garg, Alok Mittal, Kunal Shah, Rishi Mandawat, Dheeraj Jain, Sandeep Tandon, Dexter Angel Circle",1,0
GAIN,1,0
"500 Startups, Littlerock, Singularity Ventures",1,0
"Bhavish Aggarwal, Binny Bansal,Â  Rajan Anandan, Mekin Maheshwar, Sunil Kalra, Anupam Mittal, Krishna Mehra, Singapore Angel Network",1,0
"Robin Utthappa",1,0
"SoftBank Ventures Korea",1,0
"Mohandas Pai, Hiro Mashita, Singapore Angel Network, 500 Startups, Rajan Anandan, Ajay Sarupria",1,0
"T V Mohandas Pai,Â  Aarin Capital",1,0
"TV Mohandas Pai, Aarin Capital",1,0
"Vandana Luthra,",1,0
"Raghunandan G, Venturesity, Arihant Patni",1,0
"Mohit Goel, Vinod Jain & Others",1,0
"Vinod Bansal, Sanjeev Singhal",1,0
"Mahesh Parasuraman, Rahul Gautam & Others",1,0
"Endiya Partners, Mekin Maheshwari, Rajesh Sawhney",1,0
"India Ventures, Aarin Capital & Others",1,0
"Edelweiss Financial Services",1,0
"Aqeel Ahmed",1,0
"Atul Jain, Anil Gelra, Jaikumar Nair",1,0
"Jaideep Mehta",1,0
"Sachin Dalal",1,0
"Saumya Tandon",1,0
"Ranjit Singh",1,0
"Virendra Shekhawat, Deepak Chokhani, Yogesh Patel & Others",1,0
"Vishwadeep Bajaj & Others",1,0
"Rajnish Sinha, Prijit Debnath, Kanchan Ghoshal",1,0
"Dr Nandish Domlur, Amit Sandill",1,0
"Lightspeed Venture Partners, K Ganesh",1,0
"Sujal Shah, Dino Morea",1,0
"Nandan Nilekani, Mohandas Pai, Neeraj Arora, Anand Rajaraman, Girish Mathrubootham, Aneesh Reddy & Teruhide Sato",1,0
"Mohandas Pai, Varun Aggarwal",1,0
"3 undisclosed investors",1,0
"Sachin Bansal, Binny Bansal, Accel Partners & Others",1,0
"Omidyar Network,Â  Vikram Lal, Abhijit Bhandari, Mahesh Murthy, Shashank Bhagat",1,0
"StartupXseed Ventures, The Phoenix Fund and others",1,0
"Vishal Bali & Others",1,0
"Calcutta Angels, Lead Angels & Others",1,0
"Rajan Anandan, Pramod Bhasin, Siddharth Pai, TV Mohandas Pai, Manvinder Singh Banga",1,0
MeritTrac,1,0
"Dheeraj Jain, Jagdish Kumar, Bharat Gupta, Ankush Saigal, Praveen Saini",1,0
"Myntra/LivSpace Founders",1,0
"Arun Chandra Mohan",1,0
"500 Startups, Mato Peric, TracxnLabs",1,0
"Ranjan Mahtani",1,0
"Matt Mullenweg, Adam Dâ€™Angelo, Aditya Agarwal,Â  Ruchi Sanghvi & Others",1,0
"50k Ventures, Munish Jauhar, Pulkit Jain, Rohit Narang",1,0
"Amod Malviya",1,0
"Mustafa Wajid, Umang Kumar & Others",1,0
"Flipkart, Saavn, Micromax, Dhiraj Rajaram, Ambiga Dhiraj, Dinesh Agarwal, Samir Bangara, Sanjay Nath, Arihant Patni",1,0
"Cipher-Plexus Capital Advisors & Indian HNIs",1,0
"Hyderabad Angels, Lalit Mangal,Â  Vikas Malpani, Gaurav Bhalotia, LV Prasad",1,0
"Times Group",1,0
"Abhinav Mathur",1,0
"Huzaifa Khorakiwala",1,0
"Anand Chandrasekaran & Others",1,0
"Farooq Adam, Ambi Parameswaran,",1,0
GIC,1,0
"Chandigarh Angels Funding",1,0
"Arihant Patni, Avnish Mehra, Pranay Adhvaryu, Ravi Sampat",1,0
"Purvi Ventures",1,0
"GPA group",1,0
"Lalit Mangal & Others",1,0
"TV Mohandas Pai, Mohit Saxena, Raghunandan G, Singapore Angel Network, TracxnLabs",1,0
"Foxconn Technology Group & Others",1,0
"Harminder Sahni, Krishna Mehra, Sanjay Bakshi",1,0
"Maple Capital Advisors",1,0
"Lead Angel Network",1,0
"Vineet Nalla",1,0
"Amit Patni, Anirudh Damani, Samir Shah",1,0
"The Saha Fund, TV Mohandas Pai",1,0
"CIO Angel Network (CAN)",1,0
"Chandigarh Angel Network (CAN)",1,0
"Beerud Sheth and Ravi Mantha",1,0
"Rajesh Sawhney, Anupam Mittal, Dinesh Agarwal, Gaurav Gupta,",1,0
"Vidyadhar Sarfare",1,0
Shopclues,1,0
"TracxnLabs, Jitendra Gupta, Prashant Tandon",1,0
"Mr. Sudhir & Ms. Shalini Sethi, Mr. Praveen Someshwar",1,0
"Extreme Venture PartnersÂ  William Bissell",1,0
"Mumbai Angels, Singapore Angel Network, Zishaan Hayath",1,0
"Vijay Shekhar Sharma, Singapore Angels Network",1,0
"Nisha Sharma, Puneet Dalmia, Balaji Prabhakar",1,0
"Quintillion Media",1,0
"Anand Chandrasekaran, Rajesh Sawhney, Kalpana Tatavarti, Shivanandan Pare",1,0
"Murugappa Group, TVS Group, Vellayan Subbiah, Arathi Krishna, Arun Venkatachalam",1,0
"HT Digital Media Holdings Ltd",1,0
"Vectr Ventures",1,0
"Jitendra Gupta",1,0
"Umang Kumar, Ruchir Arora & others",1,0
"Times Group Brand Capital",1,0
"SAIF Partners & others",1,0
"Saina Nehwal",1,0
"TV Mohandas Paiâ€™s family office",1,0
"Centre For Incubation & Business Acceleration (CIBA), Goa",1,0
"Sujeet Kumar, Ankit Nagori, Traxcn Labs",1,0
Logtally,1,0
"Inara Capital , Rishi Khiani",1,0
"Blackstone Valley Group, Raghu Vohra, Aditya Dev Sood, Kamal Bansal",1,0
"S.D. Shibulal, Kris Gopalakrishnan, Srinath Batni, Professor Tarun Khanna,Â  Ganapathy Venugopal.",1,0
"Kae Capital, Kunal Bahl, Rohit Bansal",1,0
"Daljit Singh, Dr. Pramath Raj Sinha, BVR Mohan Reddy",1,0
"Manish Gupta",1,0
"Tracxn, Ashish Goenka & Others",1,0
"Bessemer Venture Partners, Anil Chopra",1,0
"JMR Infotech India Pvt Ltd",1,0
"Unigrowth Inc",1,0
"Mandeep Singh, Jairaj Singh",1,0
"FIH Mobile Ltd",1,0
"Sargod Ventures",1,0
"Accel Partners, Elevar Equity, Pramod Bhasin, Rajan Anandan, Gaurav Dalmia, Abhishek Goyal, Gagan Hasteer , Arun Tadanki",1,0
"Sandeep Aggarwal",1,0
"Mato Peric, Peter Kabel & others",1,0
"Life.SREDA, Qualgro",1,0
Quikr,1,0
"500 Startups, IDG Ventures & Advantedge fund, Neeraj Arora, Leon Seynave",1,0
"Micromax Informatics Ltd",1,0
"Dewang Neralla,Roopak Taneja, Manisha Gupta",1,0
"Fireside Ventures, Mumbai Angels MAPE Advisory Group.",1,0
"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",1,0
"Vijai Laxmi",1,0
"Manpreet Singh",1,0
"Accel Partners, Anupam Mittal & other marquee investors",1,0
"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & others",1,0
"Springboard Ventures",1,0
"R Natarajan, Mohan Alexander",1,0
"Ventureworks India",1,0
"Redcliffe Capital, YourNest Angel Fund",1,0
"Jupiter Capital",1,0
"Accel Partner, Jungle Ventures",1,0
"Suresh Vaswani",1,0
"India Quotient & other investors",1,0
"CMYK Health Boutique Pvt Ltd & Other individual investors",1,0
"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",1,0
"Subodh Gupta",1,0
"Ash Bhardwaj",1,0
"Sandeep Dama & Others",1,0
Applyifi,1,0
"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",1,0
"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",1,0
"Prakhar Bumb",1,0
"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",1,0
"Karan Bajwa, Amanpreet Bajaj, Manish Vij",1,0
"Rajat Malhotra",1,0
"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network & others",1,0
"Astarc Ventures & Others",1,0
"500 Startups, Mato Peric & Others",1,0
"Mayank Singhal and others",1,0
"Zishaan Hayath, Rahul Khanna & Others",1,0
"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",1,0
"Alok Mittal",1,0
"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",1,0
"Sachin Bhatia, Rajesh Sawhney",1,0
"Tracxn Labs",1,0
"Sanjay Sethi, Ravi Jaipuria & others",1,0
"CCube Angels, Frontline Strategy",1,0
"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita",1,0
"responsAbility Investments, Infuse Ventures",1,0
"Bedrock Ventures",1,0
"Best Foodworks",1,0
"B M Gupta, Vinod Singhal",1,0
"LetsVenture, Mumbai Angels",1,0
"Ratan Tata, Vani Kola, T V Mohandas Pai, Karthee Madasamay",1,0
"Existing & New Investors",1,0
"Rohit Goel",1,0
"One97 Communications",1,0
"Rohit Bhatia, Sunil Nikhar, Vaibhav Domkundwar, Siddharth Nautiyal",1,0
"NEA, Blume Ventures & others",1,0
"Umesh Yadav",1,0
"Manish Dhingra, Ankush Nijhawa, Gaurav Bhatnagar",1,0
"Prime Capital Markets Ltd",1,0
"India Quotient, Anupam Mittal & others",1,0
"Ravi Agarwal",1,0
"Ibibo Group",1,0
"Growx Ventures, Manish Singhal",1,0
"Li Tao, Li Jian, Draphant Consultants, Nitin Garg, Saurabh Jain, Mohit Agarwal",1,0
"Ratan Tata, Nikhil Vora & others",1,0
"Delhivery, Tracxn Labs",1,0
"ah! Ventures, Vivek Joshi, Mohit Satyanand & others",1,0
"Rebright Partners, Tracxn Labs, Aneesh Reddy",1,0
"Pravin Agarwala & others",1,0
"Atulya Mittal",1,0
"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal",1,0
"DSG Consumer Partners, Siddharth Parekh",1,0
"Jaydeep Barman",1,0
"Sandeep Aggarwal, Teruhide Sato",1,0
"Rajeev Saraf, Arvind Jha, R. Satya Narayanan",1,0
"Atul Jalan",1,0
"Anupam Mittal, Anand Chandrasekaran, Uday Shankar, Chetan Bhagat",1,0
"Tracxn Labs, Deepak Singh",1,0
"IDG Ventures India",1,0
"YourWeCan Ventures",1,0
"growX ventures,Â  Manish Singhal",1,0
"Varun Agarwal & Others",1,0
"B S Nagesh",1,0
"YouWeCan Ventures,Â  Aprameya Radhakrishna",1,0
"Aarin Capital Partners,",1,0
"Aprameya Radhakrishna",1,0
GrowthStory,1,0
"Ennovent Impact Investment Holding",1,0
"Mark Mobius & 9 Other Angel investors",1,0
"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra,Â  Arjun Malhotra, Gautam Gandhi",1,0
